direction_keyword,cluster_id_A,cluster_size,total_frequency,seed_words_in_cluster,example_phrases
code,42,502,502,code,00989 area code; 202 telephone code; 203 area code; 205 area code; 206 telephone code
Best,39,306,309,"Best,builder,code,pattern,style",best buy coupon code; build a bear promo code; northern tool promo code; 32 degrees discount code; abercrombie & fitch coupons and promo codes
Best,35,92,96,"Best,How-to,maker,style,top",how to cook top sirloin steak; how to make a soft boiled egg; how to make over easy eggs; how to make ribs in the oven; beef cuts best
Best,56,79,79,"Best,ideas",50 best restaurants in the world; best accommodation hawaii; best beaches in california; best beaches in costa rica; best beaches in florida
Best,54,77,77,"Best,How-to,face,ideas,style,top",beard beard styles; beard styles men; best beard trimmers for men; best clarifying shampoo; best concealer for mature skin
