phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise,cluster_label_B,cluster_id_B,direction_keyword
415 code area,1,code,9900,keyword_tool,3,13,False,False,False,normal,42,502,False,-1,code_B-1,code
416 code area,1,code,14800,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
419 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
423 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
424 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
424 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
425 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
434 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
437 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
440 telephone area code,1,code,9900,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
443 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,-1,code_B-1,code
458 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
463 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
469 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
470 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
470 area code georgia,1,code,12100,keyword_tool,4,21,False,False,False,normal,42,502,False,0,code_B0,code
470 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
470 country code,1,code,5400,keyword_tool,3,16,False,False,False,normal,42,502,False,0,code_B0,code
478 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
479 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
484 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
501 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
502 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
503 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
504 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
505 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
508 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
509 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
509 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
510 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
513 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
515 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
515 code,1,code,9900,keyword_tool,2,8,False,False,False,normal,42,502,False,0,code_B0,code
516 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
516 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
516 telephone area code,1,code,5400,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
517 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
518 code area,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
551 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
551 is what area code,1,code,12100,keyword_tool,5,21,True,False,True,question,42,502,False,0,code_B0,code
559 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
559 area code california,1,code,8100,keyword_tool,4,24,False,False,False,normal,42,502,False,0,code_B0,code
561 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
562 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
562 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
563 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
567 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
570 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
571 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
573 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
574 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
575 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
580 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
585 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
586 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
601 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
602 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
603 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
605 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
606 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
607 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
608 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
609 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
609 telephone area code,1,code,5400,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
610 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
610 pa area code,1,code,8100,keyword_tool,4,16,False,False,False,normal,42,502,False,0,code_B0,code
612 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
612 telephone area code,1,code,18100,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
613 code area,1,code,8100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
613 phone area code,1,code,5400,keyword_tool,4,19,False,False,False,normal,42,502,False,0,code_B0,code
614 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
615 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
619 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
623 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
626 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
626 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
629 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
630 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
631 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
636 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
646 area code,1,code,301000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
646 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
650 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
660 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
661 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
661 area code in california,1,code,22200,keyword_tool,5,27,False,False,False,normal,42,502,False,0,code_B0,code
661 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
662 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
667 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
678 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
681 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
682 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
702 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
702 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
703 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
706 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
707 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
707 california area code,1,code,5400,keyword_tool,4,24,False,False,False,normal,42,502,False,0,code_B0,code
713 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
713 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
713 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
715 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
716 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
717 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
719 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
720 telephone area code,1,code,27100,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
724 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
725 phone code,1,code,6600,keyword_tool,3,14,False,False,False,normal,42,502,False,0,code_B0,code
727 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
740 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
754 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
760 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
762 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
765 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
769 area code,1,code,18100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
773 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
774 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
779 area code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
781 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
803 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
804 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
804 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
806 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
808 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
812 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
813 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
813 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
815 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
818 area code location,1,code,9900,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
830 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
832 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
832 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
833 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
843 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
844 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
844 telephone code,1,code,9900,keyword_tool,3,18,False,False,False,normal,42,502,False,0,code_B0,code
845 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
845 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
845 phone code,1,code,14800,keyword_tool,3,14,False,False,False,normal,42,502,False,0,code_B0,code
847 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
848 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
855 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
857 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
857 area code massachusetts,1,code,8100,keyword_tool,4,27,False,False,False,normal,42,502,False,0,code_B0,code
858 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
859 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
860 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
862 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
864 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
865 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
866 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
866 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
870 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
872 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
903 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
903 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
903 phone code,1,code,5400,keyword_tool,3,14,False,False,False,normal,42,502,False,0,code_B0,code
904 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
904 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
907 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
912 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
913 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
914 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
916 area code in california,1,code,9900,keyword_tool,5,27,False,False,False,normal,42,502,False,0,code_B0,code
917 area code location,1,code,9900,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
919 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
920 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
928 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
928 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
929 area code,1,code,201000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
929 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
931 area code,1,code,49500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
936 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
937 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
939 area code,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
941 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
949 area code,1,code,135000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
949 area code location,1,code,5400,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
951 area code,1,code,165000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
951 area code ca,1,code,5400,keyword_tool,4,16,False,False,False,normal,42,502,False,0,code_B0,code
951 area code location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
954 area code,1,code,110000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
954 area code in florida,1,code,6600,keyword_tool,5,24,False,False,False,normal,42,502,False,0,code_B0,code
954 what area code,1,code,14800,keyword_tool,4,18,True,False,True,question,42,502,False,0,code_B0,code
959 area code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
970 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
971 area code,1,code,60500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
972 area code location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
972 telephone area code,1,code,6600,keyword_tool,4,23,False,False,False,normal,42,502,False,0,code_B0,code
973 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
978 area code,1,code,90500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
979 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
980 area code,1,code,74000,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
984 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
985 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
989 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area 208 code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area 209 code,1,code,27100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area 214 code,1,code,33100,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area 336 code,1,code,6600,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area 713 code,1,code,5400,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 1 416,1,code,9900,keyword_tool,4,15,False,False,False,normal,42,502,False,0,code_B0,code
area code 202,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 202 location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 203,1,code,14800,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 205 location,1,code,6600,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 206,1,code,22200,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 210 location,1,code,8100,keyword_tool,4,22,False,False,False,normal,42,502,False,0,code_B0,code
area code 212,1,code,5400,keyword_tool,3,13,False,False,False,normal,42,502,False,0,code_B0,code
area code 212 new york,1,code,14800,keyword_tool,5,22,False,False,False,normal,42,502,False,0,code_B0,code
